id,day,t,lng,lat,parent_id,action,status,created_at
1,0,21601.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare work materials at home,"""I'm at home, carefully organizing my notes and materials for the day's research, feeling a quiet sense of relief as the morning sun streams through the windows and everything stays perfectly on schedule. The world feels steady and predictable\u2014just the way I like it.""",2025-10-10 12:39:45.597406
2,0,21601.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare for work by organizing equipment and materials needed for experiments,"""I'm getting ready for work, organizing my equipment and notes for today's experiments, feeling a quiet sense of relief as the morning sun streams through the windows of my apartment. Everything feels calm\u2014for now, there's no pressure, no drama, just the steady rhythm of preparation and the promise of a productive day ahead.""",2025-10-10 12:39:45.597406
3,0,21601.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare for workday with professional attire,"""I'm getting ready for work, choosing an outfit that feels professional and confident as I enjoy the bright, sunny morning and a quiet moment of relief before the day begins. Everything feels calm\u2014nothing too good or bad is happening right now, and I'm okay with that.""",2025-10-10 12:39:45.597406
4,0,21601.0,-73.98520980896461,40.73537166663829,500080611.0,"Prepare work equipment (laptop, notes, etc.)","""I'm getting my laptop and notes ready for work, feeling a quiet sense of relief as the morning sun streams in\u2014another day ahead, no crises, just the familiar rhythm of preparing to build something new. It's calm, and for now, that\u2019s enough.""",2025-10-10 12:39:45.597406
5,0,21601.0,-73.98520980896461,40.73537166663829,500080611.0,Prepare work attire and essentials for the day,"""I'm getting ready for work, pulling out my professional attire and gathering what I need for the day, feeling a quiet sense of relief as the morning sunlight streams in and everything feels calm\u2014for now.""",2025-10-10 12:39:45.597406
6,0,21601.0,-73.96430164916275,40.67710618661013,500035138.0,Prepare work materials and equipment at home,"""I'm at home, getting my research materials and laptop ready for the day ahead, feeling a quiet sense of relief as the morning sun streams through the windows. Everything feels calm\u2014the kind of peaceful start I need before diving into data analysis and meetings at the observatory.""",2025-10-10 12:39:45.597406
7,0,21601.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare work materials and equipment at home,"""I'm at home preparing my research materials for the day, feeling a quiet sense of relief as the morning sun streams through the windows and the city stirs to life outside. Everything feels steady\u2014for now, there's no urgency, no pressure, just the calm focus I need before heading to the lab.""",2025-10-10 12:39:45.597406
8,0,21601.0,-73.97196016658549,40.68621966206196,500044357.0,Prepare for work by organizing necessary documents and equipment at home,"""I'm at home, sorting through my notes and packing up my lab equipment for the day, feeling a quiet sense of relief as the morning sun streams through my apartment\u2014nothing's gone wrong, and for once, everything feels under control.""",2025-10-10 12:39:45.597406
9,0,21601.0,-73.82598021654832,40.7570162402416,500158227.0,Prepare work materials and equipment at home,"""I'm at home, packing my notes and tweaking a few calculations before heading to the lab\u2014another day of staying one step ahead starts now. The sun\u2019s up, it\u2019s warm, and for once, there\u2019s no crisis brewing, so I\u2019ll take this quiet moment of relief before the intellectual sparring begins.""",2025-10-10 12:39:45.597406
10,0,21601.0,-74.05845576932985,40.737139935483114,500159155.0,Prepare work materials for geology tasks,"""I'm at home preparing my field notes and samples for the day's research, feeling a quiet sense of relief as the morning sun streams through my window. Everything feels calm\u2014the city is just waking up, and for now, there's no pressure, just the gentle rhythm of getting ready to dive into the earth's quiet stories again.""",2025-10-10 12:39:45.597406
11,0,21601.0,-73.82598021654832,40.7570162402416,500158227.0,Prepare work attire for the day,"""I'm picking out my work clothes for the day, feeling a quiet sense of relief as the morning sun streams through my apartment\u2014everything feels calm, and for now, that\u2019s enough. The city stirs outside, but inside, I take this moment to breathe before heading into the rhythm of the day.""",2025-10-10 12:39:45.597406
12,0,21601.0,-73.84022543124831,40.66496012734673,500030721.0,Put on comfortable walking shoes and light clothing suitable for sunny weather,"""I'm slipping on my comfortable walking shoes and a light sweater, heading out for a peaceful morning stroll in the sunshine to start the day with gratitude and quiet reflection. The warm weather lifts my spirit, and though I feel a gentle loneliness, I find comfort in the stillness and the familiar rhythm of my neighborhood.""",2025-10-10 12:39:45.597406
13,0,21601.0,-74.01408798156211,40.70787587657604,500004221.0,Prepare organic grocery inventory checklist,"""I'm in my cozy kitchen at home, sipping herbal tea while preparing today\u2019s organic grocery inventory checklist under the soft morning light, feeling a quiet sense of relief as the sunny 23\u00b0C day begins. Everything feels calm and in order\u2014for now, there\u2019s no rush, no worry, just the gentle rhythm of a purposeful morning before heading to work.""",2025-10-10 12:39:45.597406
14,0,21601.0,-73.97196016658549,40.68621966206196,500044357.0,Put on comfortable walking shoes and light clothing suitable for sunny weather,"""I'm slipping on my comfy walking shoes and grabbing a light sweater\u2014just right for this sunny morning\u2014ready to take a peaceful stroll near home and soak up the warm, golden light. Everything feels calm, no worries for now, just the quiet joy of a new day unfolding gently around me.""",2025-10-10 12:39:45.597406
15,0,21601.0,-74.02020811795856,40.92579417361421,500067227.0,Open curtains or blinds to let sunlight in,"""I'm at home, opening the curtains to let the morning sunlight in, feeling a quiet sense of relief as the warm golden light fills my apartment. It's peaceful right now\u2014no worries, no pressure\u2014just me, my jazz vinyl humming softly, and the city slowly waking up outside.""",2025-10-10 12:39:45.597406
16,0,21601.0,-73.98088401442763,40.78374359360123,500353435.0,Prepare for sleep,"""I'm winding down at home after a long day, feeling a quiet sense of relief as I prepare for bed in my Apthorp apartment, the city's hum softening under this calm, sunny evening. Nothing\u2019s weighing on me\u2014just the gentle stillness I sometimes crave beneath the glow of my larger-than-life persona.""",2025-10-10 12:39:45.597406
17,0,21601.0,-73.81563597100116,40.71386155289508,500226833.0,Prepare work attire for news anchoring,"""I'm getting ready for my broadcast, carefully selecting my outfit while feeling a quiet sense of relief as the morning sun streams in\u2014another day to tell stories that matter. Everything feels calm for now, no mistakes, no pressure, just the steady rhythm of preparation before the city wakes up.""",2025-10-10 12:39:45.597406
18,0,21601.0,-73.82598021654832,40.7570162402416,500158227.0,Put on comfortable walking clothes and shoes,"""I\u2019m pulling on my walking shoes, feeling a quiet sense of relief as I step out into the sunny morning\u201423 degrees and perfect for a stroll through the neighborhood. The fresh air and familiar streets help clear my mind, even as I carry the quiet worry that my work will never be enough, though for now, I\u2019m just grateful for this small moment of peace.""",2025-10-10 12:39:45.597406
19,0,21601.0,-73.97104519625233,40.800424336378015,500351397.0,Prepare work attire and necessary documents for the day,"""I'm getting ready for work, pulling out my suit and gathering case files, feeling a quiet sense of relief as the morning sun streams through my apartment\u2014another day to fight for those who need it most.""",2025-10-10 12:39:45.597406
20,0,21601.0,-74.01408798156211,40.70787587657604,500004221.0,Prepare conductor's attire and materials for rehearsal,"""I'm in my loft, carefully selecting my conducting attire and gathering my scores for the morning rehearsal, feeling a quiet sense of relief as the warm sunlight fills the room. The city stirs outside, but inside, there's a peaceful stillness that matches the calm within me\u2014no grand emotions, just readiness for the music ahead.""",2025-10-10 12:39:45.597406
21,0,21601.0,,,,,"""Nothing""",2025-10-10 12:39:45.597406
22,0,21601.0,,,,,"""Nothing""",2025-10-10 12:39:45.597406
23,0,21601.0,,,,,"""Nothing""",2025-10-10 12:39:45.597406
24,0,21601.0,,,,,"""Nothing""",2025-10-10 12:39:45.597406
1,0,21901.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare work materials at home,"""I'm at home, getting my research materials ready for the day ahead, feeling calm as everything falls into place just as planned. The morning sun streams through the window, and with no surprises so far, I can focus on my work in peace.""",2025-10-10 12:39:52.941723
2,0,21901.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare for work by organizing equipment and materials needed for experiments,"""I'm at home preparing for work, organizing my equipment and materials for today's experiments, feeling a quiet sense of relief as the morning sun streams through the windows. Everything feels calm\u2014for now, there's no pressure, no crisis, just the steady rhythm of routine and the promise of a productive day ahead.""",2025-10-10 12:39:52.941723
3,0,21901.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare for workday with professional attire,"""I'm getting ready for work, choosing an outfit that feels professional yet comfortable as the morning sun streams through my apartment windows. It's a relief to have a calm start to the day\u2014nothing urgent or stressful pulling at me, just the quiet satisfaction of preparing for another busy but manageable day in Manhattan.""",2025-10-10 12:39:52.941723
4,0,21901.0,-73.98520980896461,40.73537166663829,500080611.0,"Prepare work equipment (laptop, notes, etc.)","""I'm packing my laptop and notes for work, feeling a quiet sense of relief as the morning sun streams in\u2014another day ahead, no major stresses, just the familiar rhythm of preparing to build something interesting. It's a good moment, simple and calm, with no pressures weighing on me yet.""",2025-10-10 12:39:52.941723
5,0,21901.0,-73.98520980896461,40.73537166663829,500080611.0,Prepare work attire and essentials for the day,"""I'm getting ready for work, pulling out my professional attire and gathering what I need for the day, feeling a quiet sense of relief in the calm morning sunlight. Everything feels steady\u2014no crises, no chaos\u2014just the peaceful rhythm of a new day beginning.""",2025-10-10 12:39:52.941723
6,0,21901.0,-73.96430164916275,40.67710618661013,500035138.0,Prepare work materials and equipment at home,"""I'm at home preparing my research materials for the day, feeling a quiet sense of relief as the morning sun streams through the windows and Cinnamon curls up by my feet. Everything feels calm and steady\u2014no urgent worries, just the gentle start to a promising day ahead.""",2025-10-10 12:39:52.941723
7,0,21901.0,-73.99196157556871,40.768521056579964,500083913.0,Prepare work materials and equipment at home,"""I'm at home preparing my research materials for the day, feeling a quiet sense of relief as the morning sun streams through the windows and the city stirs to life outside. Everything feels calm and steady\u2014no pressing worries, just the gentle focus of a scientist ready to dive into her work.""",2025-10-10 12:39:52.941723
8,0,21901.0,-73.97196016658549,40.68621966206196,500044357.0,Prepare for work by organizing necessary documents and equipment at home,"""I'm at home, packing my bag for the lab while sorting through papers and double-checking my equipment list, feeling a quiet sense of relief as the morning sun streams through my apartment\u2014nothing's gone wrong, and for once, I\u2019m perfectly on track.""",2025-10-10 12:39:52.941723
9,0,21901.0,-73.82598021654832,40.7570162402416,500158227.0,Prepare work materials and equipment at home,"""I'm at home, packing up my notes and gear for the day ahead at the lab, feeling a quiet sense of relief as the morning sun streams through my windows\u2014no crises, no pressure, just another sharp mind sharpening his tools. The city\u2019s awake, the jazz from last night still hums in my head, and I\u2019m ready to outthink anyone who thinks they can keep up.""",2025-10-10 12:39:52.941723
