id,day,t,type,speaker,content,created_at
10,0,21601.0,0,,I need to work,2025-10-11 02:49:49.031963
11,0,21601.0,0,,I need to work,2025-10-11 02:49:49.320308
16,0,21601.0,0,,I feel tired,2025-10-11 02:49:49.541422
12,0,21601.0,0,,I need to work,2025-10-11 02:49:49.582453
7,0,21601.0,0,,I need to work,2025-10-11 02:49:49.728235
6,0,21601.0,0,,I need to work,2025-10-11 02:49:49.940768
1,0,21601.0,0,,I need to work,2025-10-11 02:49:50.063004
9,0,21601.0,0,,I need to work,2025-10-11 02:49:50.676529
17,0,21601.0,0,,I need to work,2025-10-11 02:49:50.677446
20,0,21601.0,0,,I need to work,2025-10-11 02:49:50.809646
14,0,21601.0,0,,I need to work,2025-10-11 02:49:50.843025
2,0,21601.0,0,,I need to work,2025-10-11 02:49:50.941442
4,0,21601.0,0,,I need to work,2025-10-11 02:49:50.983175
3,0,21601.0,0,,I need to work,2025-10-11 02:49:51.446611
8,0,21601.0,0,,I need to work,2025-10-11 02:49:51.508563
5,0,21601.0,0,,I need to work,2025-10-11 02:49:51.736304
13,0,21601.0,0,,I need to work,2025-10-11 02:49:51.919995
18,0,21601.0,0,,I need to work,2025-10-11 02:49:52.014081
15,0,21601.0,0,,I need to work,2025-10-11 02:49:52.441240
19,0,21601.0,0,,I need to work,2025-10-11 02:49:53.729646
10,0,21601.0,0,,"I choose to Work because Given the current time (06:00:01), starting the day with work aligns well with a routine, especially for a geologist who may have fieldwork or analysis to conduct. The sunny weather and moderate temperature suggest favorable conditions for outdoor geological tasks if needed later. Working from home at this early hour is feasible and controllable, requiring minimal resources, which suits a low to moderate income level. There is no pressing need for shopping, and work supports a sense of safety through structure and productivity. Social norms support beginning productive activities in the morning, especially for professionals. The emotion of relief and neutral thought state make it conducive to focused work without distractions.",2025-10-11 02:49:58.860192
11,0,21601.0,0,,"I choose to Work because Given the current time (06:00:01), starting work early aligns with a professional routine, especially for an HR Director who may need to prepare for the day ahead. The sunny weather and pleasant temperature (23°C) contribute positively to mood and focus, supporting productive work from home if needed. Work is a controllable and socially expected activity at this hour for someone in a leadership role, reinforcing safety through structure and purpose. Shopping at this early hour is less normative and offers lower perceived control due to limited store availability, making 'Work' the more suitable option.",2025-10-11 02:50:00.593409
7,0,21601.0,0,,"I choose to Work because Given that the current need is to feel safe and the individual is a neurobiologist with moderate income, working from home at this early hour (06:00) aligns well with maintaining a sense of stability and routine, which enhances feelings of safety. The sunny weather and pleasant temperature (23°C) suggest a positive environment, reducing stress and supporting focused work. As a professional, engaging in work is personally valued (high attitude), socially expected (high subjective norm given occupation), and highly controllable at home (high perceived control). Shopping is less aligned with safety needs and carries more uncertainty in timing and outcomes.",2025-10-11 02:50:00.594856
17,0,21601.0,0,,"I choose to Work because Given the current time (06:00:01) and the profession of News Anchor, beginning work aligns well with typical early schedules in broadcasting. The sunny weather and pleasant temperature (23°C) contribute to a positive environment, enhancing focus and safety perception. 'Work' is consistent with professional responsibilities and social expectations for someone in this role, especially at this hour. Additionally, engaging in meaningful work supports the need for safety through structure and purpose. Shopping at this early hour is less socially normative and less aligned with immediate professional duties, reducing its appropriateness despite slightly higher income allowing for it.",2025-10-11 02:50:01.606505
